Orthogroup	homeo_pele	homeo_spha
OG0000000	Pele_DN158131_c1_g1_i1.p1^	A0A812B925_SEPPH
OG0000001	Pele_DN156383_c1_g1_i10.p1^, Pele_DN134842_c0_g2_i2.p1^	A0A812CSX7_SEPPH
OG0000002	Pele_DN131147_c0_g1_i5.p1^	A0A812CHV2_SEPPH, A0A812CH23_SEPPH
OG0000003	Pele_DN141821_c0_g1_i1.p1^	A0A812BTC3_SEPPH
OG0000003	Pele_DN146984_c1_g2_i4.p1^	A0A812D295_SEPPH
OG0000006	Pele_DN144533_c0_g2_i7.p1^, Pele_DN148207_c5_g3_i3.p1^	A0A812BPP8_SEPPH, A0A812BJL2_SEPPH
OG0000010	Pele_DN134626_c0_g2_i1.p1^	A0A812EIQ4_SEPPH
OG0000011	Pele_DN161083_c3_g4_i2.p1^	A0A812BNP1_SEPPH
OG0000012	Pele_DN160581_c0_g1_i5.p1^	A0A812B9P4_SEPPH
OG0000019	Pele_DN165661_c1_g4_i3.p1^	A0A812E850_SEPPH
OG0000023	Pele_DN155499_c1_g2_i7.p1^	A0A812AKM1_SEPPH
OG0000024	Pele_DN143168_c0_g1_i1.p1^	A0A812EZS5_SEPPH
OG0000025	Pele_DN163341_c0_g7_i2.p1^	A0A812DPV1_SEPPH, A0A812DNZ3_SEPPH
OG0000026	Pele_DN156972_c3_g1_i1.p1^	A0A812APR0_SEPPH
OG0000027	Pele_DN134969_c3_g2_i5.p1^	A0A812E3X7_SEPPH
OG0000030	Pele_DN163654_c0_g2_i7.p1^	A0A812CU56_SEPPH, A0A812CKB5_SEPPH
OG0000031	Pele_DN161508_c2_g1_i2.p1^	A0A812BB01_SEPPH
OG0000034	Pele_DN156788_c0_g1_i2.p1^	A0A812DGB7_SEPPH
OG0000037	Pele_DN161761_c0_g3_i2.p1^	A0A812BHZ1_SEPPH
OG0000042	Pele_DN144074_c0_g1_i7.p1^	A0A812B373_SEPPH
OG0000047	Pele_DN141396_c6_g3_i8.p1^	A0A812DPY5_SEPPH
OG0000049	Pele_DN160834_c0_g1_i5.p1^	A0A812DM15_SEPPH
OG0000081	Pele_DN151192_c1_g2_i4.p1^, Pele_DN103616_c0_g1_i1.p1^	A0A812ERL0_SEPPH
OG0000101	Pele_DN137043_c1_g1_i3.p1^	A0A812E8D3_SEPPH
